Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,3670.47,безналичный,Минск,Беларусбанк-GQXA-248,12-06-2009,08:24:07,недостаточно средств,нет,0.0
юр. лицо,получение средств,1132.98,безналичный,Минск,Беларусбанк-RCNW-246,30-08-2009,11:57:22,успешно,нет,0.0
юр. лицо,получение средств,4339.23,наличный,Минск,Беларусбанк-BZBW-449,05-01-2011,12:17:35,успешно,нет,0.0
юр. лицо,списание средств,290.15,наличный,Минск,Приорбанк-WOBP-704,05-04-2012,22:18:30,успешно,нет,0.0
физ. лицо,получение средств,4529.19,наличный,Минск,БелАгропромбанк-GQZF-160,13-10-2002,07:32:21,успешно,нет,0.0
юр. лицо,получение средств,1366.87,безналичный,Минск,МаксБанк-ULGQ-027,05-03-2007,19:12:18,успешно,нет,0.0
юр. лицо,получение средств,608.91,безналичный,Минск,МаксБанк-XEEM-960,25-08-2012,12:19:28,успешно,нет,0.0
физ. лицо,списание средств,1484.94,безналичный,Минск,МаксБанк-MNVK-787,22-09-2015,05:39:45,недостаточно средств,да,74.95
физ. лицо,списание средств,2684.45,наличный,Минск,БелАгропромбанк-PTBD-093,23-01-2002,08:27:23,успешно,нет,0.0
физ. лицо,получение средств,506.98,безналичный,Минск,МаксБанк-OVOG-508,16-05-2006,20:04:20,успешно,нет,0.0
юр. лицо,списание средств,1491.68,наличный,Минск,МаксБанк-RBBG-010,02-06-2014,18:51:31,неправильный ввод пин-кода,да,94.43
физ. лицо,получение средств,4698.93,наличный,Минск,Приорбанк-THHU-214,23-10-2021,14:03:17,успешно,нет,0.0
физ. лицо,получение средств,1503.31,безналичный,Минск,Приорбанк-LLOF-625,06-01-2019,07:06:45,успешно,нет,0.0
юр. лицо,получение средств,4912.47,наличный,Минск,МаксБанк-ZKFJ-149,17-10-2005,07:43:23,успешно,нет,0.0
юр. лицо,списание средств,1300.21,безналичный,Минск,Белинвестбанк-EMIT-331,21-07-2020,06:28:34,недостаточно средств,да,75.68
юр. лицо,списание средств,1406.76,наличный,Минск,Приорбанк-XTFG-306,13-01-2008,17:10:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1277.47,наличный,Минск,Приорбанк-YEBB-174,07-09-2024,22:56:00,успешно,нет,0.0
физ. лицо,списание средств,4848.68,безналичный,Минск,Белинвестбанк-ICVB-778,18-09-2006,04:16:32,успешно,да,282.13
юр. лицо,списание средств,211.91,безналичный,Минск,Белинвестбанк-XXGF-150,10-01-2002,14:48:28,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,948.96,безналичный,Минск,БелАгропромбанк-BVQR-523,06-12-2000,17:52:16,успешно,нет,0.0
юр. лицо,получение средств,4263.52,наличный,Минск,Беларусбанк-MYDS-607,13-03-2017,09:52:23,успешно,нет,0.0
юр. лицо,списание средств,2889.07,безналичный,Минск,Белинвестбанк-RSPL-268,03-01-2020,04:36:34,успешно,нет,0.0
юр. лицо,списание средств,4020.72,безналичный,Минск,Белинвестбанк-PAJD-968,03-06-2005,16:47:12,успешно,нет,0.0
физ. лицо,списание средств,2615.59,наличный,Минск,Приорбанк-XFGF-612,02-05-2016,11:02:25,неправильный ввод пин-кода,да,97.03
юр. лицо,получение средств,719.89,наличный,Минск,Белинвестбанк-TCLD-439,22-06-2018,16:58:27,успешно,нет,0.0
юр. лицо,списание средств,2227.5,наличный,Минск,БелАгропромбанк-WLCA-697,16-04-2001,20:35:46,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1570.43,наличный,Минск,БелАгропромбанк-JIJT-625,29-01-2012,03:26:14,недостаточно средств,да,51.24
физ. лицо,списание средств,1041.66,безналичный,Минск,Приорбанк-TRWS-341,20-02-2004,11:13:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,818.71,безналичный,Минск,Белинвестбанк-TIOU-735,09-12-2021,19:01:36,успешно,нет,0.0
физ. лицо,списание средств,414.75,безналичный,Минск,БелАгропромбанк-IFFV-289,13-08-2003,12:55:00,успешно,нет,0.0
физ. лицо,списание средств,4031.19,наличный,Минск,МаксБанк-SWPK-187,19-07-2008,01:38:33,успешно,да,133.88
физ. лицо,списание средств,3543.69,безналичный,Минск,Беларусбанк-GIJY-221,04-06-2023,11:56:17,недостаточно средств,да,284.17
юр. лицо,получение средств,1783.3,безналичный,Минск,Беларусбанк-CEWS-888,20-09-2010,03:41:25,успешно,нет,0.0
физ. лицо,списание средств,2889.47,наличный,Минск,Белинвестбанк-KOKF-901,29-06-2007,22:55:18,недостаточно средств,да,91.43
юр. лицо,списание средств,2816.98,безналичный,Минск,Белинвестбанк-DXOY-583,16-09-2000,02:17:29,недостаточно средств,да,255.75
юр. лицо,получение средств,4843.68,наличный,Минск,Беларусбанк-IFYQ-153,15-04-2014,19:45:54,успешно,нет,0.0
физ. лицо,получение средств,1901.99,наличный,Минск,МаксБанк-ZQCP-678,01-06-2024,12:49:58,успешно,нет,0.0
физ. лицо,получение средств,1093.15,наличный,Минск,Беларусбанк-ICRJ-334,20-02-2005,11:36:37,успешно,нет,0.0
юр. лицо,получение средств,528.02,наличный,Минск,МаксБанк-RHQW-517,11-08-2017,10:42:05,успешно,нет,0.0
физ. лицо,получение средств,2713.21,наличный,Минск,Белинвестбанк-FRCZ-658,18-06-2021,22:46:03,успешно,нет,0.0
физ. лицо,получение средств,4041.03,безналичный,Минск,БелАгропромбанк-DJUV-899,14-10-2010,00:17:13,успешно,нет,0.0
физ. лицо,списание средств,2789.74,наличный,Минск,БелАгропромбанк-BSPJ-709,14-01-2011,11:30:04,недостаточно средств,да,36.33
юр. лицо,списание средств,4159.56,безналичный,Минск,Приорбанк-OFUD-039,03-05-2010,00:45:37,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1913.87,безналичный,Минск,МаксБанк-QHUH-206,26-12-2005,18:18:39,успешно,нет,0.0
юр. лицо,списание средств,2448.92,безналичный,Минск,Белинвестбанк-ABHJ-841,01-03-2001,04:58:42,неправильный ввод пин-кода,да,213.66
физ. лицо,получение средств,164.98,наличный,Минск,МаксБанк-YUBL-977,13-06-2012,05:57:51,успешно,нет,0.0
физ. лицо,получение средств,2500.57,наличный,Минск,Беларусбанк-EIWC-257,29-08-2024,13:30:42,успешно,нет,0.0
юр. лицо,получение средств,273.35,безналичный,Минск,Белинвестбанк-NYPY-119,08-04-2021,10:50:00,успешно,нет,0.0
юр. лицо,получение средств,1195.73,наличный,Минск,Беларусбанк-BMEV-334,11-04-2011,01:51:00,успешно,нет,0.0
физ. лицо,получение средств,1423.55,безналичный,Минск,МаксБанк-RJPF-211,15-02-2006,04:00:23,успешно,нет,0.0
физ. лицо,списание средств,2773.99,безналичный,Минск,МаксБанк-GFVK-331,24-05-2008,08:27:57,недостаточно средств,нет,0.0
физ. лицо,списание средств,2825.62,безналичный,Минск,БелАгропромбанк-LYWW-148,24-12-2020,23:08:35,недостаточно средств,да,163.13
юр. лицо,списание средств,4867.65,безналичный,Минск,Приорбанк-CLIJ-706,16-04-2015,01:13:51,успешно,да,362.14
юр. лицо,получение средств,1995.23,наличный,Минск,МаксБанк-ITRP-418,22-11-2014,03:50:29,успешно,нет,0.0
физ. лицо,получение средств,168.35,наличный,Минск,Белинвестбанк-VCDE-871,04-12-2005,07:14:39,успешно,нет,0.0
физ. лицо,списание средств,3785.28,наличный,Минск,Приорбанк-DCKF-970,03-07-2017,22:13:18,недостаточно средств,да,304.97
физ. лицо,списание средств,1020.37,безналичный,Минск,Белинвестбанк-XKCB-811,11-08-2007,10:45:00,успешно,да,27.88
юр. лицо,списание средств,3905.34,безналичный,Минск,Белинвестбанк-JCVE-399,22-02-2001,00:40:14,недостаточно средств,нет,0.0
юр. лицо,списание средств,1986.67,безналичный,Минск,БелАгропромбанк-OCYH-394,16-06-2006,10:24:38,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4058.23,безналичный,Минск,Приорбанк-QLXT-163,27-12-2023,02:55:00,успешно,нет,0.0
физ. лицо,списание средств,1363.92,безналичный,Минск,Белинвестбанк-NSZJ-025,22-06-2017,00:55:23,недостаточно средств,да,86.6
юр. лицо,получение средств,2363.01,безналичный,Минск,Приорбанк-UTME-588,26-01-2014,19:57:47,успешно,нет,0.0
физ. лицо,списание средств,2362.92,безналичный,Минск,Приорбанк-GFPR-353,12-09-2000,17:41:32,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1134.17,безналичный,Минск,МаксБанк-JLYA-916,10-09-2022,15:20:41,успешно,нет,0.0
юр. лицо,списание средств,1640.68,безналичный,Минск,Беларусбанк-ZTYC-165,27-02-2019,08:44:42,недостаточно средств,нет,0.0
физ. лицо,списание средств,2220.52,наличный,Минск,Беларусбанк-YAAR-364,04-10-2023,13:51:31,успешно,нет,0.0
юр. лицо,получение средств,2675.87,наличный,Минск,БелАгропромбанк-RFPO-970,22-11-2012,15:31:57,успешно,нет,0.0
юр. лицо,получение средств,1089.85,безналичный,Минск,Приорбанк-PUMY-037,03-01-2007,08:00:09,успешно,нет,0.0
физ. лицо,списание средств,147.23,наличный,Минск,Белинвестбанк-HXZC-427,13-04-2001,17:53:19,недостаточно средств,да,10.09
физ. лицо,списание средств,2465.61,безналичный,Минск,Беларусбанк-GVTD-990,16-06-2008,18:27:56,недостаточно средств,нет,0.0
юр. лицо,списание средств,1000.8,наличный,Минск,Белинвестбанк-CCYP-928,09-08-2000,04:18:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4841.76,наличный,Минск,Приорбанк-GGSM-556,28-09-2000,05:40:06,успешно,нет,0.0
физ. лицо,получение средств,2853.23,наличный,Минск,Белинвестбанк-QJDK-832,16-09-2024,15:04:10,успешно,нет,0.0
физ. лицо,получение средств,3011.41,наличный,Минск,Приорбанк-UROL-907,13-07-2021,11:50:46,успешно,нет,0.0
юр. лицо,списание средств,3483.88,безналичный,Минск,БелАгропромбанк-TOIR-523,15-06-2006,10:53:02,недостаточно средств,нет,0.0
физ. лицо,получение средств,1257.22,наличный,Минск,Белинвестбанк-MSTE-680,05-06-2004,09:04:39,успешно,нет,0.0
физ. лицо,списание средств,3999.24,безналичный,Минск,БелАгропромбанк-USNY-394,13-12-2023,17:24:01,неправильный ввод пин-кода,да,165.21
физ. лицо,списание средств,3182.07,безналичный,Минск,Белинвестбанк-WDGH-422,02-12-2016,11:09:19,недостаточно средств,да,175.5
юр. лицо,списание средств,3881.47,наличный,Минск,МаксБанк-FNOR-607,08-07-2007,23:18:20,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3922.33,безналичный,Минск,Беларусбанк-SYSB-254,19-10-2007,03:49:15,успешно,нет,0.0
физ. лицо,получение средств,4666.72,наличный,Минск,БелАгропромбанк-DIXO-169,20-03-2008,10:09:10,успешно,нет,0.0
юр. лицо,получение средств,899.02,безналичный,Минск,БелАгропромбанк-VUZR-267,27-08-2008,21:13:00,успешно,нет,0.0
юр. лицо,получение средств,1167.42,наличный,Минск,Белинвестбанк-IEXU-280,22-01-2002,21:02:07,успешно,нет,0.0
физ. лицо,получение средств,2219.3,безналичный,Минск,МаксБанк-DCNY-670,07-11-2001,12:13:01,успешно,нет,0.0
юр. лицо,получение средств,121.1,наличный,Минск,МаксБанк-QRQU-073,24-10-2008,02:40:08,успешно,нет,0.0
физ. лицо,списание средств,3066.19,наличный,Минск,Белинвестбанк-GLXI-807,21-07-2004,19:27:59,успешно,да,84.02
юр. лицо,получение средств,340.66,наличный,Минск,Белинвестбанк-OWOD-823,19-07-2006,14:00:06,успешно,нет,0.0
физ. лицо,списание средств,404.05,безналичный,Минск,Приорбанк-YMKF-733,06-12-2015,20:13:26,недостаточно средств,нет,0.0
юр. лицо,списание средств,4785.42,наличный,Минск,БелАгропромбанк-UACO-103,29-10-2023,00:03:09,успешно,да,216.93
физ. лицо,получение средств,1626.86,безналичный,Минск,Белинвестбанк-LACR-851,20-07-2004,15:19:13,успешно,нет,0.0
юр. лицо,получение средств,371.73,безналичный,Минск,МаксБанк-VQQF-511,12-02-2011,17:22:46,успешно,нет,0.0
юр. лицо,списание средств,2346.01,безналичный,Минск,МаксБанк-WVKM-409,23-11-2006,23:02:28,успешно,да,192.55
физ. лицо,получение средств,4998.47,безналичный,Минск,Белинвестбанк-BYWF-223,05-04-2014,21:44:16,успешно,нет,0.0
физ. лицо,списание средств,3009.66,наличный,Минск,Приорбанк-ZPQX-403,24-08-2011,03:10:54,недостаточно средств,нет,0.0
физ. лицо,списание средств,700.66,безналичный,Минск,МаксБанк-BXRB-345,04-01-2006,11:47:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4332.55,наличный,Минск,БелАгропромбанк-OOLK-170,16-11-2004,22:03:39,недостаточно средств,да,252.83
юр. лицо,получение средств,4068.1,безналичный,Минск,БелАгропромбанк-KEIQ-404,16-12-2008,06:39:50,успешно,нет,0.0
физ. лицо,получение средств,2753.16,наличный,Минск,Беларусбанк-JKLQ-686,24-08-2002,10:50:13,успешно,нет,0.0
юр. лицо,получение средств,2091.86,наличный,Минск,БелАгропромбанк-LLSW-540,26-05-2003,21:07:06,успешно,нет,0.0
физ. лицо,списание средств,2824.54,наличный,Минск,Приорбанк-WKEI-059,27-11-2015,15:36:50,успешно,нет,0.0
физ. лицо,списание средств,2044.54,наличный,Минск,Белинвестбанк-PMML-823,26-12-2021,18:50:26,недостаточно средств,да,37.58
юр. лицо,списание средств,1465.55,наличный,Минск,БелАгропромбанк-BXKR-265,03-03-2000,12:17:51,успешно,да,113.42
юр. лицо,получение средств,3631.33,наличный,Минск,Белинвестбанк-BDMK-436,14-12-2020,21:49:06,успешно,нет,0.0
юр. лицо,получение средств,1705.74,безналичный,Минск,Приорбанк-IJSI-560,18-09-2002,01:27:53,успешно,нет,0.0
физ. лицо,получение средств,457.14,безналичный,Минск,Белинвестбанк-RVOQ-489,17-08-2011,20:58:04,успешно,нет,0.0
физ. лицо,получение средств,1139.4,безналичный,Минск,БелАгропромбанк-BOEU-565,25-11-2008,08:25:46,успешно,нет,0.0
юр. лицо,списание средств,1218.94,безналичный,Минск,МаксБанк-JRBP-922,19-02-2006,06:54:44,неправильный ввод пин-кода,да,83.46
юр. лицо,получение средств,79.64,наличный,Минск,Беларусбанк-JAOW-426,09-01-2022,22:19:10,успешно,нет,0.0
юр. лицо,списание средств,1702.9,безналичный,Минск,Приорбанк-NMQM-658,24-10-2008,22:28:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,888.12,наличный,Минск,Белинвестбанк-SMMH-051,26-11-2013,11:33:16,успешно,нет,0.0
юр. лицо,списание средств,1954.55,наличный,Минск,МаксБанк-WPZT-218,26-02-2003,03:28:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,2824.68,безналичный,Минск,Беларусбанк-SYZY-092,11-11-2015,19:41:34,успешно,нет,0.0
юр. лицо,списание средств,4563.13,наличный,Минск,Белинвестбанк-NCPU-472,13-11-2004,12:00:11,недостаточно средств,нет,0.0
физ. лицо,получение средств,1972.9,наличный,Минск,Беларусбанк-GVMG-671,20-03-2003,15:48:47,успешно,нет,0.0
физ. лицо,получение средств,4068.15,наличный,Минск,Беларусбанк-DQXV-923,23-09-2004,18:06:14,успешно,нет,0.0
физ. лицо,получение средств,4938.35,наличный,Минск,Приорбанк-YIWQ-363,15-07-2001,19:27:56,успешно,нет,0.0
физ. лицо,списание средств,1825.68,наличный,Минск,БелАгропромбанк-JILN-058,16-07-2010,05:01:41,неправильный ввод пин-кода,да,31.7
физ. лицо,списание средств,2533.3,наличный,Минск,МаксБанк-GVUU-310,25-02-2006,06:11:11,успешно,да,139.05
физ. лицо,получение средств,2758.62,наличный,Минск,Белинвестбанк-LHQA-383,27-07-2014,04:27:47,успешно,нет,0.0
физ. лицо,списание средств,3732.18,безналичный,Минск,БелАгропромбанк-ZHZU-838,30-09-2006,14:29:32,успешно,нет,0.0
физ. лицо,списание средств,1477.52,безналичный,Минск,Беларусбанк-VVNJ-427,29-03-2000,23:12:22,успешно,да,56.43
физ. лицо,списание средств,346.97,наличный,Минск,БелАгропромбанк-GHVQ-315,30-01-2000,09:48:10,недостаточно средств,нет,0.0
физ. лицо,списание средств,179.63,наличный,Минск,МаксБанк-ADEN-394,20-12-2020,06:24:19,успешно,да,13.86
юр. лицо,получение средств,1371.83,наличный,Минск,Приорбанк-TXSK-715,29-10-2002,02:55:56,успешно,нет,0.0
юр. лицо,получение средств,364.88,безналичный,Минск,МаксБанк-UJNN-989,28-01-2006,01:38:11,успешно,нет,0.0
физ. лицо,получение средств,4123.83,наличный,Минск,Белинвестбанк-EGBQ-436,08-03-2004,22:06:04,успешно,нет,0.0
физ. лицо,получение средств,1935.27,наличный,Минск,БелАгропромбанк-FOTK-750,15-02-2021,19:08:00,успешно,нет,0.0
юр. лицо,получение средств,4287.21,безналичный,Минск,Приорбанк-YRXF-339,27-04-2011,08:41:50,успешно,нет,0.0
физ. лицо,списание средств,2915.26,наличный,Минск,БелАгропромбанк-VKYJ-989,10-01-2013,13:14:19,недостаточно средств,нет,0.0
юр. лицо,списание средств,1062.54,безналичный,Минск,Приорбанк-PGGR-612,04-12-2024,07:04:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2618.27,наличный,Минск,Беларусбанк-NHFP-139,25-12-2020,18:47:29,успешно,нет,0.0
физ. лицо,получение средств,2151.82,наличный,Минск,БелАгропромбанк-LUIG-668,21-05-2016,01:17:54,успешно,нет,0.0
юр. лицо,списание средств,3798.97,наличный,Минск,МаксБанк-NCQB-056,25-02-2002,23:37:45,недостаточно средств,нет,0.0
физ. лицо,списание средств,2518.91,наличный,Минск,Приорбанк-ONEN-482,24-03-2000,22:34:23,успешно,да,178.4
юр. лицо,получение средств,3542.74,безналичный,Минск,МаксБанк-KLGY-506,18-06-2021,07:17:00,успешно,нет,0.0
физ. лицо,списание средств,3461.27,наличный,Минск,Приорбанк-FHAJ-326,03-02-2007,20:34:42,неправильный ввод пин-кода,да,329.6
физ. лицо,получение средств,3855.53,наличный,Минск,Приорбанк-ZAFP-186,04-01-2023,23:15:55,успешно,нет,0.0
физ. лицо,получение средств,4057.99,наличный,Минск,МаксБанк-TWRW-653,08-09-2000,08:45:32,успешно,нет,0.0
физ. лицо,списание средств,1502.77,наличный,Минск,Беларусбанк-GSZV-205,27-02-2017,06:11:45,успешно,да,57.44
юр. лицо,списание средств,2064.46,наличный,Минск,БелАгропромбанк-JQYQ-094,01-10-2004,19:35:14,успешно,да,181.46
физ. лицо,списание средств,214.18,наличный,Минск,Приорбанк-FWPM-464,26-11-2021,09:30:52,недостаточно средств,нет,0.0
физ. лицо,списание средств,3926.1,безналичный,Минск,МаксБанк-JJAI-378,14-06-2004,19:17:48,успешно,да,345.13
юр. лицо,получение средств,4596.36,безналичный,Минск,Белинвестбанк-BBOJ-482,19-02-2001,17:52:56,успешно,нет,0.0
юр. лицо,списание средств,979.65,наличный,Минск,МаксБанк-GGLN-760,12-05-2001,21:52:45,недостаточно средств,нет,0.0
юр. лицо,списание средств,580.74,наличный,Минск,МаксБанк-HPUK-578,16-03-2023,02:45:04,успешно,нет,0.0
юр. лицо,списание средств,3208.35,безналичный,Минск,Приорбанк-DHDO-099,13-09-2012,14:52:33,неправильный ввод пин-кода,да,266.57
физ. лицо,списание средств,2820.73,наличный,Минск,МаксБанк-QYCE-370,17-03-2008,18:48:09,недостаточно средств,нет,0.0
юр. лицо,списание средств,4679.45,безналичный,Минск,МаксБанк-RAKX-209,18-05-2004,02:11:32,успешно,нет,0.0
физ. лицо,списание средств,3873.81,наличный,Минск,МаксБанк-DKZO-733,01-04-2001,16:56:29,успешно,да,178.25
юр. лицо,списание средств,443.01,безналичный,Минск,Приорбанк-DDHN-753,11-06-2002,09:10:52,недостаточно средств,да,39.96
юр. лицо,списание средств,784.93,безналичный,Минск,МаксБанк-YVUY-244,27-02-2019,15:31:15,успешно,да,72.11
физ. лицо,списание средств,4951.23,наличный,Минск,МаксБанк-YYIV-992,20-07-2015,19:24:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2777.13,наличный,Минск,Белинвестбанк-ZXGT-680,17-01-2000,19:17:11,успешно,нет,0.0
юр. лицо,списание средств,2144.22,безналичный,Минск,Белинвестбанк-JVMP-515,03-06-2004,07:38:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4285.28,наличный,Минск,БелАгропромбанк-WHBP-678,30-07-2007,16:34:40,успешно,нет,0.0
юр. лицо,списание средств,600.46,наличный,Минск,МаксБанк-OCRZ-680,28-07-2006,19:19:14,недостаточно средств,нет,0.0
юр. лицо,списание средств,818.9,наличный,Минск,Белинвестбанк-PASY-128,07-05-2015,01:51:24,недостаточно средств,нет,0.0
юр. лицо,списание средств,1702.16,наличный,Минск,Белинвестбанк-JKCL-946,11-05-2014,04:37:54,неправильный ввод пин-кода,да,38.19
физ. лицо,списание средств,3794.25,наличный,Минск,Белинвестбанк-SPIV-078,20-01-2001,09:27:21,успешно,нет,0.0
юр. лицо,получение средств,1481.15,безналичный,Минск,Белинвестбанк-INTR-166,26-11-2004,16:20:39,успешно,нет,0.0
физ. лицо,списание средств,772.24,безналичный,Минск,Беларусбанк-YYEF-509,28-08-2008,05:12:33,неправильный ввод пин-кода,да,27.23
юр. лицо,получение средств,2868.08,безналичный,Минск,Беларусбанк-AICZ-597,13-07-2013,10:51:13,успешно,нет,0.0
юр. лицо,получение средств,633.01,наличный,Минск,Беларусбанк-RFQR-656,05-04-2015,21:03:49,успешно,нет,0.0
физ. лицо,списание средств,1491.49,наличный,Минск,МаксБанк-WNNT-440,13-06-2001,02:14:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3888.48,наличный,Минск,Приорбанк-CYOU-854,17-04-2017,20:03:22,успешно,да,120.59
физ. лицо,получение средств,3697.63,безналичный,Минск,Приорбанк-YWAY-488,14-08-2021,01:18:51,успешно,нет,0.0
юр. лицо,получение средств,2572.65,безналичный,Минск,Беларусбанк-ZGKB-148,09-08-2015,16:45:26,успешно,нет,0.0
физ. лицо,получение средств,1223.54,наличный,Минск,Приорбанк-LAIE-105,09-09-2011,23:09:19,успешно,нет,0.0
юр. лицо,получение средств,4849.39,наличный,Минск,Беларусбанк-PBQX-102,03-04-2016,12:44:15,успешно,нет,0.0
юр. лицо,списание средств,3576.7,наличный,Минск,БелАгропромбанк-QQAJ-499,11-10-2011,06:35:01,успешно,да,324.47
физ. лицо,списание средств,2448.56,безналичный,Минск,БелАгропромбанк-CJXN-768,15-07-2011,06:04:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4607.91,наличный,Минск,Приорбанк-YCJM-531,12-02-2008,19:48:20,неправильный ввод пин-кода,да,225.09
физ. лицо,списание средств,1134.96,наличный,Минск,Белинвестбанк-GCTI-304,12-01-2022,03:33:39,недостаточно средств,да,33.64
физ. лицо,получение средств,1947.52,наличный,Минск,Приорбанк-QLTT-746,06-09-2020,01:30:57,успешно,нет,0.0
физ. лицо,получение средств,4856.8,безналичный,Минск,БелАгропромбанк-ZZIR-847,06-07-2001,06:46:51,успешно,нет,0.0
физ. лицо,списание средств,4399.58,наличный,Минск,Белинвестбанк-LOQO-290,02-11-2014,22:43:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1594.37,наличный,Минск,МаксБанк-LJEL-061,16-02-2014,15:53:28,успешно,нет,0.0
физ. лицо,получение средств,3628.73,безналичный,Минск,МаксБанк-DGTL-652,15-04-2011,10:29:45,успешно,нет,0.0
юр. лицо,получение средств,381.26,безналичный,Минск,МаксБанк-TCAN-265,05-03-2000,03:55:21,успешно,нет,0.0
физ. лицо,списание средств,419.55,безналичный,Минск,Беларусбанк-CTMB-700,02-08-2005,06:29:22,неправильный ввод пин-кода,да,28.83
физ. лицо,получение средств,1945.01,наличный,Минск,Белинвестбанк-BNPX-379,12-06-2013,17:10:58,успешно,нет,0.0
юр. лицо,получение средств,1793.5,наличный,Минск,Приорбанк-EFLA-143,10-08-2010,23:31:06,успешно,нет,0.0
юр. лицо,списание средств,4210.2,наличный,Минск,БелАгропромбанк-YUZD-428,05-08-2011,19:21:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4159.18,безналичный,Минск,Приорбанк-ZSWS-050,03-01-2004,11:20:58,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4266.06,наличный,Минск,МаксБанк-UBMT-228,09-07-2003,13:52:44,успешно,нет,0.0
физ. лицо,списание средств,324.33,наличный,Минск,МаксБанк-VTFL-980,17-09-2024,20:40:21,недостаточно средств,нет,0.0
физ. лицо,получение средств,3204.88,безналичный,Минск,Беларусбанк-SKNY-388,29-08-2000,05:23:23,успешно,нет,0.0
юр. лицо,списание средств,735.11,безналичный,Минск,Беларусбанк-TCWP-351,31-03-2007,17:21:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1236.39,наличный,Минск,Белинвестбанк-BVAJ-386,03-10-2019,21:28:08,недостаточно средств,да,50.6
юр. лицо,получение средств,890.09,безналичный,Минск,МаксБанк-LQTM-154,25-01-2011,01:08:02,успешно,нет,0.0
физ. лицо,получение средств,2589.64,наличный,Минск,МаксБанк-LYLR-448,31-07-2002,09:24:29,успешно,нет,0.0
юр. лицо,получение средств,532.71,безналичный,Минск,Белинвестбанк-DZTW-060,15-07-2022,16:15:25,успешно,нет,0.0
физ. лицо,получение средств,3430.44,безналичный,Минск,БелАгропромбанк-BGIO-415,29-03-2013,12:17:02,успешно,нет,0.0
юр. лицо,получение средств,4946.74,безналичный,Минск,Приорбанк-UMPI-219,08-12-2022,04:34:30,успешно,нет,0.0
физ. лицо,списание средств,3066.39,безналичный,Минск,Приорбанк-BPJZ-844,03-05-2017,22:16:36,недостаточно средств,да,33.04
физ. лицо,получение средств,3032.65,наличный,Минск,МаксБанк-WDYR-562,09-03-2005,01:51:51,успешно,нет,0.0
физ. лицо,получение средств,2750.15,безналичный,Минск,МаксБанк-PIOQ-010,29-05-2020,03:52:16,успешно,нет,0.0
юр. лицо,списание средств,1753.95,наличный,Минск,БелАгропромбанк-MSLY-933,05-01-2022,01:28:35,успешно,да,100.43
физ. лицо,получение средств,4920.98,наличный,Минск,Белинвестбанк-QKSH-576,26-06-2004,13:04:30,успешно,нет,0.0
юр. лицо,получение средств,1719.75,безналичный,Минск,БелАгропромбанк-VGJX-696,01-03-2020,08:50:30,успешно,нет,0.0
юр. лицо,получение средств,2998.17,наличный,Минск,МаксБанк-VCOS-480,07-10-2021,09:10:53,успешно,нет,0.0
юр. лицо,получение средств,474.77,безналичный,Минск,МаксБанк-KOTH-575,16-03-2003,12:02:19,успешно,нет,0.0
юр. лицо,списание средств,490.34,наличный,Минск,МаксБанк-WDNB-513,15-10-2014,14:26:18,успешно,нет,0.0
физ. лицо,списание средств,1245.74,безналичный,Минск,Белинвестбанк-CVLB-347,25-09-2002,08:01:40,недостаточно средств,нет,0.0
юр. лицо,получение средств,2413.8,безналичный,Минск,Белинвестбанк-SXOZ-035,14-09-2012,22:33:26,успешно,нет,0.0
физ. лицо,получение средств,170.56,наличный,Минск,БелАгропромбанк-RBIK-186,27-07-2007,17:57:12,успешно,нет,0.0
юр. лицо,получение средств,346.07,наличный,Минск,МаксБанк-XWZZ-668,01-06-2024,13:24:46,успешно,нет,0.0
физ. лицо,списание средств,899.56,наличный,Минск,Белинвестбанк-XZUB-777,19-03-2016,14:08:19,успешно,да,88.72
юр. лицо,списание средств,3186.84,наличный,Минск,Приорбанк-GIQV-242,01-05-2000,20:53:09,неправильный ввод пин-кода,да,60.01
